B3:	0.08049049910937259
C4:	0.16719122609594825
B10:	0.025677406295200423
A2:	0.02317765636627126
B9:	0.02066329378019048
A12:	0.008743750993384702
A10:	0.02562235280655723
B1:	0.018766128758184158
C9:	0.024369909339997234
C10:	0.09721313530870415
A11:	0.04154604445377878
B7:	0.02538184410659603
A1:	0.018977599344423564
A7:	0.008616699610527814
A8:	0.020074203832830047
A3:	0.03738163262499799
A5:	0.013359076716821695
B4:	0.020289897443950874
C1:	0.015304847819210267
B8:	0.01007438649104444
C3:	0.009966963639742006
C7:	0.009023723227684344
B2:	0.01551193295653435
C2:	0.015794402116236502
